"UNIPROT","logFC_protein","AveExpr.x","t.x","P.Value.x","adj.P.Val.x","B.x","significant","category","SYMBOL","X","logFC_rna","AveExpr.y","t.y","P.Value.y","adj.P.Val.y","B.y","ENTREZID","GENENAME","status"
"P01024",1.44876235152897,0.227247345467541,5.41142883770369,9.97786492454192e-05,0.029035586930417,1.58119514205637,TRUE,"Upregulated","C3","217767_at",-1.24955115257898,8.11649383646027,-2.84757110811893,0.00499222940566852,0.0512868638962697,-2.42664721404045,718,"complement C3","Discordant"
"Q14956",3.62289973520777,0.259829077231041,5.33144258582807,0.000115011282727454,0.0297874892308697,1.45133230147376,TRUE,"Upregulated","GPNMB","1554018_at",0.159816864576359,5.27356923487415,0.313519432062926,0.754300167295662,0.894050554884547,-6.21141424099061,10457,"glycoprotein nmb","Concordant"
"P01903",2.71559890809102,0.888132283448967,5.26950855589426,0.000128462382476891,0.0297874892308697,1.35008426515176,TRUE,"Upregulated","HLA-DRA","208894_at",0.319464276320151,4.4267005227104,0.540618972868576,0.589532637029383,0.803560289023006,-6.11743350668152,3122,"major histocompatibility complex, class II, DR alpha","Concordant"
"P04792",2.08145155248197,-0.0286423904284069,5.19369092031639,0.000147192048060324,0.0297874892308697,1.22532399954173,TRUE,"Upregulated","HSPB1","201841_s_at",-0.204619254921742,8.33775142550396,-0.389250520491525,0.697615707802952,0.864893840281814,-6.18561647295388,3315,"heat shock protein family B (small) member 1","Discordant"
"P17302",1.95311430740935,-0.044489940389088,5.19230519509957,0.000147559706458158,0.0297874892308697,1.22303545514528,TRUE,"Upregulated","GJA1","201667_at",0.335637840359597,12.4124824238549,0.732708589602485,0.464823346136191,0.719957976358887,-5.99909821284625,2697,"gap junction protein alpha 1","Concordant"
"P07355",2.14973172583997,1.07204429594314,5.08950589943384,0.00017768479285251,0.0297874892308697,1.05244021288711,TRUE,"Upregulated","ANXA2","1568126_at",-0.0892738292361748,3.14358846213369,-0.141403457825826,0.8877316129409,0.956257295658427,-6.24938428733044,302,"annexin A2","Discordant"
"P46976",1.2949575261926,0.114603919231322,5.08826831866354,0.000178084151183949,0.0297874892308697,1.05037665193853,TRUE,"Upregulated","GYG1","211275_s_at",-0.315254612861022,10.4490280351654,-0.919979925101456,0.358987709473555,0.635625577195713,-5.84963120815852,2992,"glycogenin 1","Discordant"
"P17655",1.24216605688814,0.467307451476103,5.0650187510095,0.000185762616226927,0.0297874892308697,1.01156703329064,TRUE,"Upregulated","CAPN2","214888_at",1.27318165164991,6.20670776035811,2.84515228127529,0.00502840257858098,0.0515324356167264,-2.4329892507498,824,"calpain 2","Concordant"
"Q9HBI6",2.12994035236052,0.35713240686858,5.05673509332939,0.000188580889158471,0.0297874892308697,0.99771978654333,TRUE,"Upregulated","CYP4F11","206153_at",0.427229354060307,2.82267810031913,0.777445119264711,0.438060381953995,0.699467172845345,-5.96644620208115,57834,"cytochrome P450 family 4 subfamily F member 11","Concordant"
"P00738",3.96290081500119,-0.702147375929051,5.03978017940046,0.000194488761301211,0.0297874892308697,0.969345293685145,TRUE,"Upregulated","HP","211357_s_at",-0.17514172464519,4.35398312508854,-0.296931728409347,0.76690918947483,0.900770209714049,-6.21632357060224,3240,"haptoglobin","Discordant"
